Feature,SHAP Importance
247,0.069439925
692,0.014767865
1157,0.014653285
1401,0.0113192415
1602,0.011213595
1197,0.011189179
1238,0.010008165
423,0.0097700525
921,0.009193699
1399,0.0082241865
1223,0.007924589
854,0.007875306
687,0.007562499
1084,0.0075523793
829,0.0072409147
991,0.0072000953
597,0.0071777957
1359,0.007005392
703,0.00688525
600,0.0067464393
1172,0.006399415
765,0.006393268
805,0.006271249
535,0.006173789
448,0.0061539803
330,0.0061184946
662,0.006092845
873,0.0060760006
501,0.0059601734
704,0.005916879
1549,0.0058775526
782,0.0058088345
646,0.0057938946
809,0.0057425234
1083,0.0057257796
357,0.0056725894
409,0.005660489
393,0.0056351395
963,0.0056167245
808,0.0055349907
540,0.005444162
1037,0.0054439437
735,0.0054335194
772,0.0053253835
374,0.0052945814
504,0.005268641
667,0.005262624
616,0.005224808
1352,0.0051919594
1574,0.005087849
432,0.0050075273
888,0.0049838196
1389,0.0048469775
652,0.0048371237
949,0.004793268
781,0.004781766
500,0.004762708
435,0.0047160676
1006,0.004711152
831,0.0046323636
512,0.004570533
405,0.004537395
1082,0.0045324652
1036,0.004529083
1267,0.0044961227
698,0.0044702906
635,0.0044457694
810,0.004440691
353,0.004417121
1569,0.004362993
1209,0.004267032
975,0.0042652623
458,0.0042565456
1094,0.0042406768
1316,0.0042370353
1575,0.0042263353
1432,0.0042145015
1396,0.004210833
1376,0.004199729
408,0.004131507
1300,0.0041201953
1053,0.0041046487
406,0.004077051
745,0.0040711146
494,0.0040365653
438,0.004024517
1063,0.004013969
583,0.004003386
755,0.00398074
721,0.00396697
618,0.0039667943
1005,0.0039599803
972,0.0039561144
584,0.00394281
1620,0.0039425134
1324,0.0039332933
503,0.0038954834
428,0.0038826428
910,0.0038683955
546,0.0038431138
1444,0.003826691
1606,0.0037924536
918,0.0037825678
632,0.003775623
538,0.0037592545
345,0.0037483496
671,0.0037480027
1414,0.003747687
1047,0.0037408094
350,0.003725956
498,0.0036998503
1156,0.0036887988
359,0.0036752196
596,0.0036751796
576,0.0036619538
778,0.00365589
569,0.0036468979
471,0.0036463195
602,0.0036284004
714,0.003620093
1371,0.0036155144
1583,0.0036154685
924,0.0035836229
1162,0.003576894
1362,0.0035547044
739,0.0035158372
1390,0.0034903814
1077,0.0034605337
785,0.0034520256
686,0.003440187
1608,0.0034219576
462,0.003418985
1039,0.0034061219
869,0.0033934223
475,0.003387464
472,0.0033832463
519,0.0033821247
1228,0.0033625148
1423,0.0033523266
681,0.0033522157
850,0.0033369567
1590,0.0033161393
445,0.0033081435
1516,0.0033038787
659,0.0032864786
731,0.0032782173
999,0.0032669972
1538,0.0032651578
919,0.0032611887
1355,0.0032465842
433,0.003241846
1222,0.0032413686
728,0.0032338097
492,0.003217461
696,0.0032143528
712,0.0032107118
1161,0.003209204
562,0.0032050447
1425,0.0032022214
488,0.003197181
727,0.0031904676
1556,0.003186082
1287,0.0031809846
1154,0.0031459115
1087,0.0031452049
720,0.0031407746
1617,0.003138846
1412,0.0031351638
880,0.003126575
1021,0.003116313
1286,0.0030842673
914,0.0030735086
1353,0.0030699782
563,0.003063635
989,0.0030635847
1257,0.0030384967
760,0.0030296457
511,0.0030288778
1521,0.0030166043
342,0.003004894
894,0.0030035719
1214,0.0029949956
601,0.0029898195
973,0.0029860842
1070,0.0029588845
777,0.0029585408
346,0.002954819
1561,0.0029503761
1044,0.0029205154
1463,0.0029184246
1035,0.0029145242
495,0.0028997154
814,0.0028992146
1049,0.0028972465
422,0.0028318015
1116,0.0028290679
877,0.0028201798
823,0.002810507
1281,0.0028019575
539,0.0027867623
335,0.0027668714
1031,0.0027277523
668,0.0027257192
1279,0.0027178065
641,0.002711128
1480,0.0026873988
794,0.0026799927
468,0.0026766113
581,0.002672846
1190,0.0026684648
1531,0.0026634405
852,0.0026620997
1140,0.0026598282
1043,0.0026281723
398,0.002626786
1200,0.0026189093
982,0.0026143743
1284,0.0026076285
749,0.0026044813
474,0.0026042678
730,0.0025833705
1248,0.00257722
740,0.002569932
967,0.0025612705
1504,0.002557647
542,0.0025526695
1601,0.0025501316
725,0.00254461
653,0.002538685
603,0.0025386587
657,0.0025339976
431,0.0025281003
1297,0.0024788184
715,0.002475933
1596,0.0024683822
611,0.0024666975
1510,0.0024633696
1278,0.002462972
833,0.0024563633
1524,0.0024449513
1349,0.002442505
365,0.0024334118
444,0.0024236424
588,0.0024173434
554,0.0024150577
929,0.0023941083
640,0.0023905684
1192,0.0023897036
1030,0.0023753555
909,0.0023671389
1619,0.0023645158
717,0.0023549753
1537,0.0023502647
1038,0.0023461902
1125,0.0023438088
713,0.002341076
824,0.002335532
452,0.0023349551
1417,0.0023342583
928,0.0023312836
1410,0.0023303025
392,0.0023294587
507,0.0023199965
1456,0.0023180302
1259,0.0023153413
528,0.0023148868
655,0.0023082658
1226,0.0023073277
837,0.0023068876
354,0.0022967497
497,0.002291111
487,0.0022775023
1476,0.0022728206
1199,0.0022712662
821,0.0022658305
352,0.0022576167
887,0.002251869
1089,0.0022487391
770,0.0022462446
1577,0.0022459123
553,0.0022446217
1181,0.0022388545
1104,0.0022348396
1147,0.002222515
780,0.0022168227
1060,0.0022098206
881,0.002206647
864,0.0022058315
960,0.0021984524
748,0.0021923613
1263,0.0021872441
1580,0.0021700526
339,0.0021670146
891,0.002165477
1485,0.0021647362
1025,0.0021627406
818,0.0021611815
404,0.0021551612
848,0.0021530958
815,0.0021505733
952,0.0021501705
465,0.0021493004
434,0.0021337096
1616,0.0021262583
1115,0.0021225892
711,0.0021142527
516,0.0021133702
786,0.0021073425
1179,0.0021051327
355,0.0020972048
917,0.0020905153
789,0.0020888841
677,0.0020822682
920,0.002079575
683,0.0020707469
855,0.0020597333
622,0.0020590315
473,0.002057205
840,0.0020544403
531,0.0020538352
965,0.0020535656
1557,0.0020511458
996,0.0020476207
557,0.0020419394
729,0.002034099
1607,0.0020335936
1450,0.0020265381
1388,0.0020171618
872,0.0020035107
1383,0.0019995007
1513,0.0019971286
1122,0.0019948243
1262,0.0019944606
586,0.0019889858
754,0.0019828067
1079,0.0019722835
1360,0.001966192
478,0.001966132
587,0.0019634033
377,0.001962136
1586,0.0019554594
1196,0.0019549534
591,0.0019516847
1559,0.001950192
759,0.0019452268
1573,0.0019442742
1113,0.0019347928
830,0.0019327782
1273,0.001927814
946,0.0019216638
1404,0.0019212412
1447,0.0019167209
1350,0.0019101825
1246,0.0019096273
1393,0.0019082067
1177,0.0019073747
1550,0.001903482
1290,0.0019030658
1213,0.0019026424
981,0.001898461
543,0.0018957322
1386,0.0018936933
1183,0.0018911968
1498,0.0018868521
1107,0.0018844652
1332,0.0018804729
351,0.0018775902
883,0.0018767671
1088,0.0018753031
1375,0.0018686228
633,0.0018667124
1391,0.0018635832
1244,0.0018572172
485,0.0018555186
674,0.0018553134
1151,0.0018545922
1129,0.0018493722
931,0.0018491677
362,0.0018480667
1152,0.0018476049
1501,0.0018415658
496,0.0018415236
1081,0.0018400598
589,0.0018397539
614,0.001839047
819,0.0018352987
477,0.001833715
1215,0.0018313106
329,0.0018296649
866,0.0018265628
1020,0.0018189414
1490,0.0018166625
1210,0.0018136696
1366,0.0018132443
997,0.0018077855
1208,0.0018051944
800,0.0018035794
933,0.0018031439
825,0.0018030772
1373,0.0018006207
689,0.0017972663
564,0.0017941621
1164,0.0017930422
758,0.0017892185
1337,0.001776852
510,0.0017744876
627,0.0017733952
364,0.001770839
550,0.0017707226
647,0.0017640842
1311,0.001759791
1310,0.0017593533
607,0.0017560374
756,0.0017528037
788,0.0017519788
1576,0.001750341
331,0.0017465752
1341,0.0017440297
615,0.0017436538
634,0.001738951
1076,0.0017340834
1408,0.0017308537
839,0.001729823
376,0.0017257447
1599,0.0017227575
1033,0.0017180349
938,0.0017145077
400,0.0017112147
922,0.0017103823
1103,0.0017079671
439,0.0017055159
457,0.0016938323
957,0.0016727216
1131,0.0016693736
797,0.0016690758
942,0.0016673382
853,0.0016608573
1217,0.0016487417
333,0.0016431047
1428,0.0016400508
454,0.0016367394
1028,0.0016366764
1488,0.0016304489
673,0.0016256995
1416,0.0016256854
723,0.0016112592
656,0.001610214
556,0.001609658
1317,0.0016075748
592,0.001607123
1059,0.0016057343
1065,0.0016044183
1502,0.001600731
585,0.0015969195
1363,0.0015892751
1467,0.0015888175
1163,0.0015871259
1135,0.0015854755
940,0.0015831306
1194,0.0015831088
1225,0.0015774808
1598,0.0015755281
1609,0.001575358
424,0.0015749126
453,0.0015722712
733,0.0015711507
1019,0.0015645531
992,0.0015581774
560,0.0015548824
617,0.0015452988
843,0.0015448598
1144,0.0015447021
1368,0.0015415282
534,0.001540615
951,0.0015368551
1299,0.0015368338
1442,0.0015364791
1542,0.0015329273
1000,0.001529473
1459,0.0015291222
505,0.0015275767
654,0.0015271495
1481,0.0015222878
871,0.0015202125
1304,0.0015175178
1309,0.0015125882
577,0.0015123991
663,0.0015102214
1509,0.0015040672
1567,0.0014970214
879,0.0014949393
1418,0.0014896899
1547,0.0014846984
944,0.0014844857
1387,0.0014823849
1221,0.0014699784
980,0.0014696044
813,0.0014672937
1119,0.0014640281
961,0.0014627896
691,0.0014548008
1013,0.0014544805
898,0.001452923
372,0.0014519029
1321,0.0014513152
1003,0.0014386944
1585,0.0014320487
1394,0.001424285
1560,0.0014146237
705,0.0014101818
907,0.0014097408
1241,0.001408348
481,0.0014070638
455,0.0014044596
1584,0.001397787
1512,0.001392123
776,0.0013858587
1170,0.0013846031
530,0.0013841238
1346,0.0013830693
1270,0.0013829794
529,0.0013767332
1487,0.001371678
1293,0.0013711391
506,0.0013645634
893,0.0013630996
1271,0.0013614397
555,0.0013598229
631,0.0013543029
817,0.0013525615
1106,0.0013472139
1570,0.0013463101
1216,0.0013433282
868,0.0013427286
1186,0.0013417926
371,0.0013406886
811,0.0013405342
1338,0.0013367501
349,0.0013298736
1048,0.0013248278
378,0.0013231519
769,0.0013226809
771,0.00131956
571,0.0013150964
884,0.0013108025
978,0.0012909531
1325,0.0012901898
787,0.001290031
1466,0.001289664
971,0.0012887763
1242,0.0012884226
334,0.0012857533
1622,0.0012848041
363,0.0012840424
1440,0.0012838981
737,0.0012833794
1477,0.0012830942
561,0.001281913
383,0.0012819071
861,0.0012795953
629,0.0012772487
580,0.0012715498
1064,0.0012667213
1068,0.0012588465
1175,0.0012582104
1479,0.0012576283
1055,0.0012488492
482,0.0012488392
1496,0.0012482081
1291,0.0012477909
1253,0.0012452826
1022,0.0012450237
1429,0.0012444765
666,0.0012404366
1329,0.0012355002
565,0.0012344358
856,0.0012328306
1593,0.0012325295
1335,0.0012305722
1544,0.0012298565
412,0.0012272226
598,0.0012267504
1121,0.0012262856
863,0.0012246696
744,0.0012220348
865,0.0012219007
1132,0.0012198251
1320,0.0012155138
926,0.0012118357
1054,0.0012092319
1093,0.0012075318
420,0.0012067998
948,0.0012062194
419,0.0012016529
1090,0.0012004076
1067,0.0011984638
1233,0.0011972131
716,0.0011946813
379,0.0011921334
1130,0.0011900081
1407,0.0011891712
876,0.0011863819
1004,0.0011844039
935,0.0011750754
1587,0.0011744042
1334,0.0011736256
1041,0.0011710286
394,0.001170213
544,0.0011690904
804,0.0011676674
1260,0.0011673749
456,0.0011630077
368,0.0011624376
959,0.0011591677
925,0.0011591674
548,0.0011574819
401,0.0011562894
551,0.0011561789
1078,0.0011553819
1403,0.0011547137
1578,0.0011547017
1528,0.0011535756
390,0.0011535219
417,0.0011532807
624,0.001152013
1511,0.001150187
625,0.0011500877
1424,0.0011497748
988,0.001148232
1150,0.0011444491
761,0.0011437971
1615,0.0011397969
593,0.0011369055
1240,0.0011364408
1045,0.0011357929
684,0.0011335282
1050,0.0011333199
796,0.0011324898
1002,0.0011321006
930,0.0011305503
630,0.0011296502
1100,0.0011288779
1354,0.0011286995
950,0.0011250539
1491,0.0011233984
1500,0.0011215677
1422,0.0011192964
367,0.0011175612
1458,0.0011173519
867,0.0011141755
493,0.001114013
382,0.0011135128
1205,0.0011072379
987,0.0011067814
347,0.0011054272
1160,0.0011048835
1614,0.0011048473
906,0.0011048354
373,0.0011029203
858,0.0011019526
1351,0.0011018835
1052,0.0010976731
1146,0.0010957659
380,0.0010956911
1189,0.0010942807
1142,0.0010902364
724,0.001089304
1275,0.0010881244
1540,0.0010876243
932,0.0010777973
484,0.0010708983
518,0.0010704956
1402,0.0010694136
1328,0.0010690939
1101,0.0010678611
1235,0.001067695
1071,0.0010625112
1395,0.0010595563
826,0.0010565767
1016,0.001050322
361,0.0010502787
901,0.0010499355
536,0.001049816
838,0.0010498014
429,0.0010497508
895,0.0010481708
570,0.0010475863
699,0.0010468794
489,0.0010453083
773,0.001044373
862,0.0010435804
1159,0.0010413469
1249,0.0010394615
998,0.0010372173
1010,0.0010362803
939,0.0010320537
902,0.001028183
845,0.0010267039
1229,0.0010234688
1525,0.0010210574
694,0.0010190598
953,0.0010186703
934,0.0010144308
964,0.0010129472
1336,0.0010109318
1588,0.0010107387
360,0.0010095636
521,0.0010089362
605,0.0010088928
1374,0.0010082689
941,0.0010075761
1008,0.001007434
391,0.0010050297
386,0.0010024417
1302,0.0010006538
541,0.0009982839
792,0.000989931
1141,0.0009895656
338,0.0009874679
885,0.0009854136
1011,0.0009822174
983,0.000976536
802,0.0009747331
437,0.0009726689
1057,0.0009690953
446,0.00096755725
767,0.0009647717
841,0.0009634226
1095,0.00096280896
1409,0.00095605076
1527,0.00095414417
1420,0.00095356716
1110,0.00095182355
1411,0.0009501366
1530,0.00094732014
1145,0.00094723783
1137,0.0009466134
1464,0.00094591663
889,0.000941418
1471,0.0009408549
793,0.00094007753
343,0.00093826064
1571,0.0009376322
1367,0.0009365241
1535,0.00093501975
621,0.0009335459
1133,0.00093174307
986,0.00092872186
791,0.00092660385
1468,0.0009248743
956,0.0009240198
1533,0.00092309463
606,0.0009227828
1109,0.0009223991
1245,0.0009223642
1405,0.000920515
476,0.0009189722
1460,0.00091881806
1148,0.00091819995
1168,0.00091814104
1184,0.0009170399
746,0.0009159019
958,0.0009148998
1046,0.0009145096
